Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,10.31620000,-0.01220852
0.13333334,10.79844000,0.00000000
0.26666668,9.82786000,0.01953363
0.40000002,10.38335000,0.01953363
0.53333336,10.79844000,0.01953363
0.66666670,9.90111100,-0.01220852
0.80000004,10.45049000,0.00000000
0.93333338,10.86558000,0.00000000
1.06666672,9.72408800,-0.02197534
1.20000006,10.41997000,-0.01220852
1.33333340,10.65804000,-0.02197534
1.46666674,9.79733800,0.01953363
1.60000008,10.55427000,0.00000000
1.73333342,10.76181000,0.00000000
1.86666676,9.86448500,0.01953363
2.00000010,10.41997000,-0.03174216
2.13333344,10.65804000,-0.01220852
2.26666678,9.65694000,0.00976682
2.40000013,10.62141000,-0.03174216
2.53333347,10.59089000,0.00000000
2.66666681,9.86448500,-0.02197534
2.80000015,10.51764000,0.01953363
2.93333349,10.65804000,-0.01220852
3.06666683,9.76071300,0.00000000
3.20000017,10.62141000,0.01953363
3.33333351,10.48712000,-0.01220852
3.46666685,9.79733800,0.00976682
3.60000019,10.55427000,-0.02197534
3.73333353,10.62141000,-0.01220852
3.86666687,9.76071300,0.00000000
4.00000021,10.51764000,0.00000000
4.13333355,10.65804000,-0.01220852
4.26666689,9.79733800,0.00000000
4.40000023,10.59089000,-0.01220852
4.53333357,10.55427000,-0.01220852
4.66666691,9.82786000,0.00976682
4.80000025,10.76181000,-0.02197534
4.93333359,10.59089000,0.00000000
5.06666693,9.72408800,0.00976682
5.20000027,10.65804000,-0.02197534
5.33333361,10.48712000,-0.02197534
5.46666695,9.76071300,-0.02197534
5.60000029,10.72519000,0.00000000
5.73333363,10.38335000,0.00976682
5.86666697,9.65694000,-0.01220852
6.00000031,10.79844000,-0.01220852
6.13333365,10.27957000,0.00976682
6.26666699,9.72408800,0.00000000
6.40000033,10.72519000,0.00976682
6.53333367,10.48712000,-0.02197534
6.66666701,9.82786000,0.00000000
6.80000035,10.69466000,0.04150897
6.93333369,10.38335000,-0.01220852
7.06666704,9.90111100,-0.02197534
7.20000038,10.86558000,0.00000000
7.33333372,10.21243000,-0.01220852
7.46666706,9.96825800,0.00000000
7.60000040,10.79844000,0.04150897
7.73333374,10.07203000,0.00000000
7.86666708,9.90111100,0.00000000
8.00000042,10.72519000,-0.01220852
8.13333376,10.27957000,-0.02197534
8.26666710,9.86448500,-0.01220852
8.40000044,10.79844000,-0.02197534
8.53333378,10.13918000,0.02930045
8.66666712,10.00488000,-0.02197534
8.80000046,10.86558000,0.00976682
8.93333380,10.17580000,-0.01220852
9.06666714,10.00488000,-0.02197534
9.20000048,10.79844000,0.00976682
9.33333382,10.10866000,-0.02197534
9.46666716,9.96825800,0.00000000
9.60000050,10.90221000,-0.02197534
