Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,11.21353000,-0.01220852
0.13333334,10.34672000,-0.02197534
0.26666668,11.38445000,-0.02197534
0.40000002,11.38445000,-0.03174216
0.53333336,10.59089000,0.00976682
0.66666670,11.41497000,-0.01220852
0.80000004,11.31120000,0.00000000
0.93333338,10.55427000,-0.01220852
1.06666672,11.21353000,-0.01220852
1.20000006,11.41497000,0.00000000
1.33333340,10.55427000,-0.01220852
1.46666674,11.28067000,0.00000000
1.60000008,11.38445000,0.00976682
1.73333342,10.45049000,-0.02197534
1.86666676,11.14028000,0.00000000
2.00000010,11.31120000,-0.01220852
2.13333344,10.51764000,0.00000000
2.26666678,11.21353000,0.00976682
2.40000013,11.45159000,-0.01220852
2.53333347,10.51764000,-0.02197534
2.66666681,11.17690000,-0.01220852
2.80000015,11.48822000,0.01953363
2.93333349,10.55427000,0.00976682
3.06666683,11.21353000,-0.01220852
3.20000017,11.28067000,0.00000000
3.33333351,10.51764000,0.00976682
3.46666685,11.17690000,0.00000000
3.60000019,11.51874000,-0.02197534
3.73333353,10.65804000,-0.01220852
3.86666687,11.14028000,-0.01220852
4.00000021,11.55537000,0.00000000
4.13333355,10.69466000,0.00000000
4.26666689,11.14028000,-0.02197534
4.40000023,11.48822000,0.00976682
4.53333357,10.51764000,-0.02197534
4.66666691,11.10975000,-0.02197534
4.80000025,11.51874000,-0.02197534
4.93333359,10.69466000,0.00000000
5.06666693,11.10975000,-0.01220852
5.20000027,11.59199000,-0.02197534
5.33333361,10.76181000,0.00976682
5.46666695,11.07313000,0.00976682
5.60000029,11.76291000,-0.01220852
5.73333363,10.76181000,0.00000000
5.86666697,11.03650000,0.00000000
6.00000031,11.76291000,0.00000000
6.13333365,10.69466000,-0.01220852
6.26666699,10.96936000,-0.01220852
6.40000033,11.62251000,-0.02197534
6.53333367,10.69466000,0.00000000
6.66666701,10.90221000,-0.02197534
6.80000035,11.59199000,-0.02197534
6.93333369,10.86558000,-0.01220852
7.06666704,10.90221000,0.00000000
7.20000038,11.79954000,-0.01220852
7.33333372,10.76181000,-0.03174216
7.46666706,10.86558000,0.02930045
7.60000040,11.76291000,0.00976682
7.73333374,10.79844000,0.00000000
7.86666708,10.76181000,-0.01220852
8.00000042,11.69576000,-0.01220852
8.13333376,10.72519000,0.00000000
8.26666710,10.90221000,-0.01220852
8.40000044,11.59199000,0.00000000
8.53333378,10.82896000,-0.01220852
8.66666712,10.76181000,-0.01220852
8.80000046,11.83006000,0.00976682
8.93333380,10.76181000,0.00000000
9.06666714,10.69466000,-0.02197534
9.20000048,11.62251000,0.00976682
9.33333382,10.79844000,0.00000000
9.46666716,10.82896000,0.00976682
9.60000050,11.55537000,-0.01220852
