Station,Date,Air Temperature [°C],Sunshine Duration [min],Wind Direction [°],Wind Speed [km/h],Gusts [km/h],Air Pressure [hPa]
Naluns / Schlivera,2023-08-02 16:30,14.10,3.00,235.00,36.40,49.00,759.10
Napf,2023-08-02 16:30,19.60,0.00,257.00,31.70,68.00,849.70
Neuchâtel,2023-08-02 16:30,27.40,3.00,243.00,37.40,73.80,945.80
Nyon / Changins,2023-08-02 16:30,24.00,0.00,238.00,29.20,45.70,950.80
Oberriet / Kriessern,2023-08-02 16:30,26.40,-,194.00,1.80,4.00,952.20
Oron,2023-08-02 16:30,23.60,1.00,251.00,38.20,69.80,910.20
Passo del Bernina,2023-08-02 16:30,10.50,0.00,143.00,23.00,34.60,772.30
Payerne,2023-08-02 16:30,26.90,0.00,242.00,40.00,78.50,945.50
Pilatus,2023-08-02 16:30,15.30,0.00,242.00,38.50,78.80,783.40
Piotta,2023-08-02 16:30,19.30,0.00,89.00,10.10,17.30,896.40
Piz Corvatsch,2023-08-02 16:30,4.90,0.00,200.00,25.20,44.30,680.60
Piz Martegnas,2023-08-02 16:30,8.80,1.00,187.00,42.50,53.60,733.80
Plaffeien,2023-08-02 16:30,22.10,0.00,226.00,53.60,84.60,886.90
Poschiavo / Robbia,2023-08-02 16:30,18.60,0.00,216.00,2.90,8.30,888.10
Pully,2023-08-02 16:30,25.30,0.00,274.00,29.50,51.50,950.80
Robièi,2023-08-02 16:30,11.00,0.00,155.00,6.10,14.80,806.30
Rünenberg,2023-08-02 16:30,26.70,8.00,233.00,39.60,64.80,930.60
S. Bernardino,2023-08-02 16:30,13.30,0.00,176.00,4.00,13.70,831.30
Salen-Reutenen,2023-08-02 16:30,24.00,0.00,233.00,16.90,31.00,919.10
Samedan,2023-08-02 16:30,15.60,0.00,208.00,16.90,24.80,823.50
"Sattel, SZ",2023-08-02 16:30,22.30,-,46.00,6.50,10.80,912.30
Schaffhausen,2023-08-02 16:30,27.30,0.00,262.00,30.60,53.30,948.50
